u,v,time
Hindon River (Red line),Arthala (Red line),2.3166666666666664
Arthala (Red line),Mohan Nagar (Red line),1.5166666666666666
Mohan Nagar (Red line),Shyam park (Red line),2.2333333333333334
Shyam park (Red line),Major Mohit Sharma (Red line),3.0
Major Mohit Sharma (Red line),Raj Bagh (Red line),3.0
Raj Bagh (Red line),Shaheed Nagar (Red line),2.1666666666666665
Shaheed Nagar (Red line),Dilshad Garden (Red line),2.2666666666666666
Dilshad Garden (Red line),Jhilmil (Red line),1.8833333333333333
Jhilmil (Red line),Mansarovar Park (Red line),2.0166666666666666
Mansarovar Park (Red line),Shahdara (Red line),2.0833333333333335
Shahdara (Red line),Welcome (Red line),2.2
Welcome (Red line),Seelampur (Red line),1.9833333333333334
Seelampur (Red line),Shastri Park (Red line),2.45
Shastri Park (Red line),Kashmere Gate (Red line),3.2666666666666666
Kashmere Gate (Red line),Tis Hazari (Red line),2.1666666666666665
Kashmere Gate (Red line),Kashmere Gate (Voilet line),4.0
Kashmere Gate (Red line),Kashmere Gate (Yellow line),4.0
Tis Hazari (Red line),Pulbangash (Red line),1.8166666666666667
Pulbangash (Red line),Pratap Nagar (Red line),1.7666666666666666
Pratap Nagar (Red line),Shastri Nagar (Red line),2.45
Shastri Nagar (Red line),Inderlok (Red line),2.1166666666666667
Inderlok (Red line),Kanhaiya Nagar (Red line),2.05
Kanhaiya Nagar (Red line),Keshav Puram (Red line),1.65
Keshav Puram (Red line),Netaji Subash Place (Red line),3.0
Netaji Subash Place (Red line),Kohat Enclave (Red line),3.0
Kohat Enclave (Red line),Madhuban Chowk (Red line),3.0
Madhuban Chowk (Red line),Rohini East (Red line),3.0
Rohini East (Red line),Rohini West (Red line),2.0833333333333335
Rohini West (Red line),Rithala (last station) (Red line),3.0
Kashmere Gate (Voilet line),Lal Quila (Voilet line),2.8
Kashmere Gate (Voilet line),Kashmere Gate (Yellow line),4.0
Lal Quila (Voilet line),Jama Masjid (Voilet line),1.5666666666666667
Jama Masjid (Voilet line),Delhi Gate (Voilet line),2.3166666666666664
Delhi Gate (Voilet line),ITO (Voilet line),1.9666666666666668
ITO (Voilet line),Mandi House (Voilet line),1.7166666666666668
Mandi House (Voilet line),Janpath (Voilet line),3.3333333333333335
Janpath (Voilet line),Central Secretariat (Voilet line),1.3666666666666667
Central Secretariat (Voilet line),Khan Market (Voilet line),3.5666666666666664
Central Secretariat (Voilet line),Central Secretariat (Yellow line),4.0
Khan Market (Voilet line),JLN Stadium (Voilet line),2.55
JLN Stadium (Voilet line),Jangpura (Voilet line),2.0
Jangpura (Voilet line),Lajpat Nagar (Voilet line),2.5833333333333335
Lajpat Nagar (Voilet line),Moolchand (Voilet line),1.9833333333333334
Moolchand (Voilet line),Kailash Colony (Voilet line),2.3333333333333335
Kailash Colony (Voilet line),Nehru Place (Voilet line),2.1666666666666665
Nehru Place (Voilet line),Kalkaji Mandir (Voilet line),1.9166666666666665
